Date,Customer_ID,Product_Category,Purchase_Amount,Payment_Method,Period
2023-07-01,C1018,Electronics,92.09,PayPal,Current
2023-07-01,C4557,Electronics,48.33,Debit Card,Current
2023-07-01,C2075,Clothing,90.51,PayPal,Current
2023-07-01,C2796,Electronics,1158.2,Debit Card,Current
2023-07-01,C4645,Groceries,34.3,Credit Card,Current
2023-07-01,C3471,Electronics,108.31,PayPal,Current
2023-07-02,C3857,Electronics,298.9,Debit Card,Current
2023-07-02,C4566,Groceries,93.19,PayPal,Current
2023-07-02,C3078,Books,79.49,Debit Card,Current
2023-07-02,C4829,Electronics,237.1,Credit Card,Current
2023-07-02,C4144,Clothing,21.46,PayPal,Current
2023-07-02,C3697,Electronics,64.87,Debit Card,Current
2023-07-03,C2292,Electronics,136.41,Credit Card,Current
2023-07-03,C3601,Clothing,97.03,Debit Card,Current
2023-07-03,C1445,Groceries,424.83,PayPal,Current
2023-07-03,C2223,Electronics,67.97,Cash,Current
2023-07-04,C2469,Clothing,116.68,Credit Card,Current
2023-07-04,C3750,Electronics,88.88,PayPal,Current
2023-07-04,C3729,Electronics,161.2,PayPal,Current
2023-07-04,C4459,Clothing,245.88,Credit Card,Current
2023-07-05,C4035,Electronics,102.04,Credit Card,Current
2023-07-05,C1250,Clothing,80.11,Credit Card,Current
2023-07-05,C3053,Electronics,237.23,PayPal,Current
2023-07-06,C4486,Electronics,1189.13,Credit Card,Current
2023-07-06,C1991,Clothing,34.47,Debit Card,Current
2023-07-06,C2491,Clothing,100.59,PayPal,Current
2023-07-06,C3201,Electronics,150.99,PayPal,Current
2023-07-07,C1044,Electronics,57.96,PayPal,Current
2023-07-07,C4129,Clothing,165.05,Debit Card,Current
2023-07-07,C3198,Clothing,252.2,Debit Card,Current
2023-07-07,C3373,Electronics,284.53,PayPal,Current
2023-07-07,C1919,Electronics,201.78,PayPal,Current
2023-07-07,C2025,Groceries,47.93,PayPal,Current
2023-07-08,C1024,Clothing,302.11,Credit Card,Current
2023-07-08,C3106,Electronics,272.21,PayPal,Current
2023-07-08,C3885,Electronics,86.55,Credit Card,Current
2023-07-08,C2005,Clothing,293.57,Credit Card,Current
2023-07-09,C1522,Clothing,93.58,PayPal,Current
2023-07-09,C3111,Home & Garden,371.69,PayPal,Current
2023-07-09,C3772,Clothing,103.64,Credit Card,Current
2023-07-09,C1257,Electronics,981.53,Credit Card,Current
2023-07-09,C3635,Electronics,47.28,PayPal,Current
2023-07-09,C3246,Groceries,44.91,PayPal,Current
2023-07-10,C1148,Electronics,110.57,Credit Card,Current
2023-07-10,C2381,Groceries,73.9,Credit Card,Current
2023-07-10,C4406,Clothing,24.66,PayPal,Current
2023-07-10,C1337,Groceries,63.98,Credit Card,Current
2023-07-10,C3253,Home & Garden,56.6,PayPal,Current
2023-07-10,C4976,Electronics,61.41,PayPal,Current
2023-07-10,C1969,Electronics,123.96,Credit Card,Current
2023-07-10,C4932,Home & Garden,68.23,PayPal,Current
2023-07-10,C4483,Electronics,21.58,PayPal,Current
2023-07-11,C2017,Electronics,160.11,Credit Card,Current
2023-07-11,C3723,Electronics,43.0,Credit Card,Current
2023-07-11,C3068,Groceries,39.99,Cash,Current
2023-07-11,C1897,Electronics,473.61,PayPal,Current
2023-07-12,C4260,Electronics,107.72,PayPal,Current
2023-07-12,C3597,Clothing,115.74,Debit Card,Current
2023-07-12,C4310,Clothing,56.64,Debit Card,Current
2023-07-12,C1595,Groceries,139.23,Credit Card,Current
2023-07-12,C3305,Clothing,149.27,Debit Card,Current
2023-07-13,C4051,Clothing,92.05,Credit Card,Current
2023-07-13,C3272,Groceries,147.25,Credit Card,Current
2023-07-13,C1779,Groceries,69.15,Credit Card,Current
2023-07-13,C1613,Groceries,52.98,PayPal,Current
2023-07-13,C1726,Groceries,1294.27,PayPal,Current
